NIT;Fecha de Corte;AÑO;Tipo_empresa;Ingresos Operacionales;Costos de ventas y de prestación de servicios;Otros ingresos;Gastos Operacionales de admon;Otros gastos;Otras ganancias (pérdidas);Ingresos financieros;Costos financieros;Impuesto de renta y complementarios;Gastos Operacionales de venta;Efectivo y equivalentes al efectivo;Clientes CP;Inventarios CP;Otros activos financieros;Propiedad planta y equipo;Deudores LP;Proveedores CP;Obligaciones Financieras CP;Proveedores LP;Obligaciones Financieras LP;Capital Social;Prima de emisión;Reservas;Ganancias acumuladas;Otros Activos Corrientes;Total Activo Corriente;Otros Activos No Corrientes;Total Activo No Corriente;Total Activo;Otros Pasivos Corrientes;Total Pasivo Corriente;Otros pasivos no Corrientes;Total Pasivo No Corriente;Total Pasivo;Otros Patrimonio;Total patrimonio;Total Pasivo mas Patrimonio;Utilidad Bruta;Utilidad Operacional;Otros ingresos o egresos;Utilidad antes de impuestos;Ganancias y pérdidas
817002925;31/12/2020;2019;Pymes;5483188;3422430;57140;789803;16531;0;431;256241;88993;1;151505;2221559;338732;0;2074569;0;402685;763497;0;1470512;322400;0;730931;1394827;651107;3362903;8793;2083362;5446265;396771;1562953;75319;1545831;3108784;0;2448158;5556942;2060758;1311563;4;1055757;1144750
830000556;31/12/2020;2020;Plena;82768076;61882611;484148;4935463;1093930;0;214080;0;2541311;1;9176272;16465719;5605516;0;45220719;0;6963112;1129359;0;9507891;8951470;9987220;7927062;10869531;369326;31616833;1069406;46290125;77906958;6399180;14491651;7258;9515149;24006800;17570238;55305521;79312321;20885465;15340219;0;15554299;18095610
830000556;31/12/2020;2019;Plena;75544048;57509858;204381;4303154;1076047;0;116356;0;2465136;1;5384587;17920136;5051500;0;34980723;0;8198870;696388;0;2673527;8951470;9987220;3272267;9153590;327306;28683529;1063412;36044135;64727664;5425130;14320388;1117;2674644;16995032;17570238;48934785;65929817;18034190;12859369;0;12975725;15440861
830000556;31/12/2019;2018;Plena;63075485;50777056;194976;5363040;858760;1;142261;882893;1298118;2735108;3453777;14557159;4010765;1;36119868;1;5943568;1518930;1;4197925;8951470;9987220;1774522;5996541;2127305;24149007;968835;37088704;61237711;7278876;14741374;28746;4226672;18968046;17570240;44279993;63248039;12298429;3536497;4;2795869;4093987
830006833;31/12/2020;2020;Pymes;14316983;9707233;50024;1066897;0;0;36527;287196;653910;1;289838;3555670;2910273;0;1031220;0;2830310;614537;0;373333;200000;0;100000;2696543;126690;6882471;30008;1061228;7943699;1356267;4801114;17506;390839;5191953;0;2996543;8188496;4609750;3592876;4;3342211;3996121
830006833;31/12/2020;2019;Pymes;12978774;9438913;33398;1101159;106420;0;37220;338070;296206;1;100258;3367188;2578978;0;843863;0;2578310;978635;0;736944;200000;0;100000;1839179;202524;6248948;30675;874538;7123486;909546;4466491;17506;754450;5220941;0;2139179;7360120;3539861;2365679;4;2064833;2361039
830006833;31/12/2019;2018;Pymes;9681653;7068670;28576;773597;1;1;28512;320259;214216;1;272942;3088546;1798824;1;745884;1;2105776;626253;1;589167;200000;1;100000;1861153;57304;5217617;78920;824805;6042422;765925;3497954;17509;606677;4104631;4;2161158;6265789;2612983;1867960;4;1576217;1790433
830027231;31/12/2020;2020;Plena;174359829;138066918;48127;2876363;421602;-5659124;0;0;6097200;8637505;23124963;71062546;65494164;4615738;18745306;2699229;143321927;0;0;37230090;4708570;31491399;3043288;10106767;2040795;166338206;40875645;62320180;228658386;1992910;145314837;0;37230090;182544927;374350;49724374;232269301;36292911;24405568;0;24405568;30502768
830027231;31/12/2020;2019;Plena;110325524;87036006;50244;1146523;34742;-3181081;90406;0;2226330;5633386;25111602;50229872;47457006;2384785;17663603;958043;113852688;0;0;35872052;4708570;31491399;3043288;4548056;1216915;126400180;13890807;32512453;158912633;384151;114236839;0;35872052;150108891;662663;44453976;194562867;23289518;16525111;0;16615517;18841847
830027231;31/12/2019;2018;Plena;70847046;55979187;1155;758889;13064;-3047594;29686;1;2477255;3593038;1652066;40314181;23100327;1;357005;908592;33028283;23137120;1;22283263;4708570;31491399;3043288;5204469;4117769;69184344;9715097;10980694;80165038;279444;56444847;519666;22802930;79247777;424485;44872211;124119988;14867859;10504023;4;10533712;13010967
830041598;31/12/2020;2020;Plena;67850781;44986600;8406452;5970677;3238150;0;326321;0;1669559;17760847;42683448;19548930;16635593;0;10518768;0;15114958;975682;0;0;201186480;106651337;11168936;-53674624;645718;79513689;12543901;23062669;102576358;2629724;18720364;190390;190390;18910754;73296390;338628519;357539273;22864181;4300959;804521;5431801;7101360
830041598;31/12/2020;2019;Plena;126067660;92704606;661939;3778156;1605396;0;5212709;2028676;4734027;21667227;29912948;34477776;19153876;0;10346007;0;13661279;2240634;0;0;201186480;106651337;6116870;-59983652;0;83544600;12691260;23037267;106581867;3606876;19508789;0;0;19508789;73296390;327267425;346776214;33363054;6974214;516264;10674511;15408538
830041598;31/12/2019;2018;Plena;105407426;66650292;368403;756977;2899304;-245852;7818244;1283268;4231387;29938246;17045432;54975087;29432632;0;9794950;71338800;21045538;1;1;1;267757715;130080102;6116870;-72624212;0;101453151;13156402;94290152;195743303;3620284;24665823;4;6;24665829;4;331330479;355996308;38757134;5531010;4;12065990;16297377
830071212;31/12/2020;2020;Pymes;7864602;6314682;55100;568817;82509;0;0;87964;112885;1;736172;1874753;1668250;0;215895;0;1758742;139594;0;131366;640800;0;429065;1213910;0;4279175;2;215897;4495072;229404;2127740;0;131366;2259106;0;2283775;4542881;1549920;953693;4;865733;978618
830071212;31/12/2020;2019;Pymes;6902794;5698422;29161;475994;103242;0;0;0;59803;1;130207;1780300;2015250;0;303123;0;1619561;60000;0;300463;640800;0;429065;1056538;54435;3980192;2;303125;4283317;219014;1898575;0;300463;2199038;0;2126403;4325441;1204372;654296;4;654300;714103
830071212;31/12/2019;2018;Pymes;7072382;5455197;132781;583007;72993;1;1;1;87305;1;314476;1745137;1785052;1;373288;1;1343241;100000;1;356913;640800;1;429065;1219296;33761;3878427;9;373298;4251725;209770;1653011;4;356918;2009929;4;2289166;4299095;1617185;1093965;4;1093969;1181274
830071604;31/12/2020;2020;Pymes;55375367;42136849;210428;2719099;33421;0;1072109;1318850;2709670;1;9375937;15912823;5843103;0;24188223;0;9361355;2011584;0;0;670000;0;783922;41248664;569285;31701148;192332;24380555;56081703;1965635;13338574;2388559;2388559;15727133;0;42702586;58429719;13238518;10696425;4;10449688;13159358
830071604;31/12/2020;2019;Pymes;54884759;42656368;192035;2730647;41049;0;551775;826540;2790188;1;4951685;14631086;4760409;0;24178950;0;8257888;2194432;0;0;670000;0;783922;35760468;396198;24739378;324286;24503236;49242614;1923762;12376082;2751077;2751077;15127159;0;37214390;52341549;12228391;9648729;4;9373968;12164156
830071604;31/12/2019;2018;Pymes;52819484;44515260;966046;2326901;445982;1;608875;1567986;1927391;1;2748307;13543799;4981169;1;23706060;1;11195828;2364264;1;1;670000;1;783922;30543487;1125908;22399184;277980;23984041;46383225;858615;14418707;2705714;2705716;17124423;4;31997414;49121837;8304224;6497386;4;5538279;7465670
