NIT;AÑO;K DE W / VENTAS;CAPITAL DE TRABAJO;RAZON CORRIENTE;PRUEBA ACIDA;DIAS INVENTARIO;DIAS CARTERA;DIAS PROVEEDORES;ENDEUDAMIENTO TOTAL;ENDEUDAMIENTO FINANCIERO;MARGEN BRUTO;MARGEN OPERACIONAL;MARGEN NETO
860013715;2018;5;1262034.0;1.9;1.2;112;119;252;75.7;27.0;28.9;11.4;7.6
860015753;2020;11;98304394.0;0.9;0.7;47;98;116;61.3;47.9;15.8;-5.9;-8.1
860015753;2019;9;86052055.0;1.3;0.9;49;79;105;45.7;20.6;18.3;-5.4;-6.6
860015753;2018;5;47841208.0;1.4;1.1;45;72;111;39.0;1.2;21.0;-5.4;-7.0
860016695;2020;18;4346306.0;1.5;0.9;134;82;154;72.1;21.0;24.5;17.6;15.7
860016695;2019;17;3411907.0;1.8;1.1;98;56;90;66.8;24.8;21.1;0.5;-2.4
860016695;2018;35;7133452.0;2.1;1.1;140;80;81;57.7;34.6;21.0;12.5;10.9
860025998;2020;47;6335870.0;3.6;2.5;226;121;151;17.1;2.7;31.7;4.9;9.1
860025998;2019;37;7751887.0;3.2;2.1;175;97;118;25.5;1.8;34.7;10.1;14.0
860025998;2018;31;6181107.0;2.7;1.9;159;101;142;26.7;3.2;33.7;10.2;12.4
860027326;2020;18;10589777.0;1.4;0.9;95;80;115;41.6;11.2;29.5;12.2;12.5
860027326;2019;25;13331627.0;1.5;0.8;100;85;93;42.5;24.5;24.0;6.2;5.5
860027326;2018;25;11203101.0;1.5;0.8;102;92;104;40.9;24.6;23.2;4.7;2.6
860032550;2020;-8;-22068687.0;1.6;1.1;102;29;199;70.9;31.6;39.4;-4.6;-7.0
860032550;2019;0;728929.0;2.0;1.2;96;38;153;71.0;34.9;34.5;-5.0;-7.6
860032550;2018;12;45783357.0;1.2;0.6;117;42;113;72.5;36.7;34.4;-7.1;-9.7
860032657;2020;24;9256177.0;1.7;1.2;74;102;94;50.7;27.9;22.6;9.8;10.7
860032657;2019;24;9743076.0;1.4;0.9;83;89;85;65.7;43.3;22.6;11.8;13.3
860032657;2018;37;13177800.0;1.5;0.9;97;96;52;60.3;53.5;16.9;7.3;6.9
860039444;2020;8;6723486.0;2.3;1.6;75;99;158;70.1;1.0;15.6;3.9;3.3
860039444;2019;26;26650179.0;1.7;1.0;81;86;70;74.5;45.4;12.8;1.9;-0.2
860039444;2018;27;24494995.0;1.3;0.9;82;98;83;74.4;45.4;14.2;3.5;1.6
860041889;2020;-2;-282704.0;1.0;0.7;69;57;167;66.1;8.2;30.9;23.2;23.4
860041889;2019;3;569336.0;1.1;0.8;47;45;100;67.1;16.1;36.4;24.1;27.4
860041889;2018;10;1831151.0;0.9;0.6;64;68;110;72.7;16.4;33.1;22.7;25.5
860042141;2020;-7;-24209196.0;2.0;1.3;75;63;202;74.8;44.6;28.1;23.0;20.5
860042141;2019;-6;-15693080.0;2.0;1.2;82;81;222;77.5;46.7;25.9;20.1;17.6
860042141;2018;8;19292797.0;2.0;1.1;104;82;174;77.3;55.9;26.6;19.9;15.3
860049313;2020;31;24801278.0;1.3;0.7;102;87;70;64.0;64.1;23.3;6.7;1.7
860049313;2019;29;25601712.0;1.1;0.7;108;127;133;65.8;51.6;20.1;0.9;-5.2
860049313;2018;32;31080652.0;1.0;0.7;84;162;136;66.3;50.7;14.7;0.7;-5.7
860056150;2020;5;32426779.0;1.1;0.8;62;112;177;85.5;7.2;18.2;14.4;14.7
860056150;2019;13;56026220.0;1.2;0.8;96;119;192;86.3;21.9;26.0;22.3;23.5
860056150;2018;13;61419156.0;1.1;0.8;86;122;182;90.7;29.6;24.7;2.5;3.4
860059985;2020;12;765782.0;1.5;1.2;80;98;159;39.0;0.0;29.6;21.9;24.3
860059985;2019;16;1243983.0;1.5;1.1;82;100;142;60.8;28.1;28.2;21.9;22.4
860072172;2020;10;24454758.0;1.0;0.7;44;73;89;55.1;39.4;22.3;4.3;-0.2
860072172;2019;2;6171264.0;1.0;0.7;41;62;113;54.1;39.7;27.3;2.4;-2.8
860072172;2018;7;15995031.0;1.1;0.8;46;72;108;53.0;44.1;26.8;0.2;-5.1
860090222;2019;23;28547069.0;2.5;1.7;110;84;109;22.4;0.0;44.9;35.0;41.0
860090222;2018;-2;-2939991.0;1.6;1.3;73;72;223;34.7;0.0;45.5;35.1;39.3
860500805;2020;-7;-2731613.0;0.4;0.2;103;45;203;69.4;43.4;29.0;13.9;15.7
860500805;2019;1;685049.0;0.5;0.2;91;48;147;69.5;53.0;26.1;11.6;13.4
